fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae.1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae.Sedis.XI	Peptococcaceae.1	Clostridiales_Incertae.Sedis.XIII	Clostridiales_Incertae.Sedis.XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae.Sedis.XI	Paenibacillaceae.1	Staphylococcaceae	Bacillaceae.1	Planococcaceae	Bacillales_Incertae.Sedis.XII	Bacillaceae.2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
94_R2.fasta	94	2	1031	10598	5	1	0	0	0	0	0	0	7382	84	1550	146	0	0	0	0	0	0	15969	1317	1	0	0	0	4	0	0	0	0	0	28	0	0	2692	212	0	0	2	0	0	0	0	0	0	0	0	0	0	152	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95_R1.fasta	95	1	1216	19651	0	1	0	0	0	0	0	0	7320	531	1620	229	0	0	0	14	0	0	13181	806	0	0	0	0	0	0	0	0	0	0	9	1	0	6053	528	0	0	2	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95_R2.fasta	95	2	1212	18109	1	1	0	0	0	0	0	0	7324	535	1949	301	0	0	0	0	0	0	10438	640	1	0	0	0	0	0	0	0	0	0	9	1	0	6059	519	0	0	1	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96_R1.fasta	96	1	790	14664	0	0	0	0	0	0	0	0	7179	715	1640	375	0	0	0	158	0	0	4828	540	0	0	0	0	1	0	0	0	0	1	26	0	0	8865	141	1	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
96_R2.fasta	96	2	778	13791	0	0	0	0	0	0	0	0	7171	714	2053	376	0	0	0	0	0	0	3650	380	1	0	0	0	1	0	0	0	0	1	27	0	0	8887	138	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
97_R1.fasta	97	1	164	18051	4179	0	0	0	0	0	0	0	10534	5	296	481	0	0	0	0	0	0	4309	2	0	0	0	0	0	0	0	0	0	0	1402	0	0	1524	65	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	428	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97_R2.fasta	97	2	162	16969	4150	0	0	0	0	0	0	0	11084	2	260	493	0	0	0	0	0	0	3390	3	0	0	0	0	0	0	0	0	0	0	1648	0	0	1518	62	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	413	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98_R1.fasta	98	1	25	5992	985	0	0	0	0	0	0	0	5418	3770	1324	283	86	0	0	0	0	0	12705	61	0	0	0	0	0	0	0	0	0	0	2008	0	0	74	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98_R2.fasta	98	2	25	5642	976	0	0	0	0	0	0	0	5457	3341	1192	277	86	0	0	0	0	0	9940	49	0	0	0	0	0	0	0	0	0	0	2109	0	0	74	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99_R1.fasta	99	1	215	16335	2704	0	0	1	0	0	0	0	10584	2	244	2339	229	0	0	0	0	0	3763	22	0	0	0	0	0	0	0	0	0	0	1384	0	0	4859	62	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	151	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99_R2.fasta	99	2	214	15553	2684	0	0	1	0	0	0	0	11747	1	216	2355	227	0	0	0	0	0	2991	16	0	0	0	0	0	0	0	0	0	0	1631	0	0	4874	62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	147	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9_R1.fasta	9	1	0	12203	1	0	0	0	0	0	0	0	18163	2942	1023	170	35	0	0	0	0	0	801	167	0	0	0	0	0	0	0	0	0	0	2466	0	0	2952	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9_R2.fasta	9	2	0	11402	1	0	0	0	0	0	0	0	17914	2628	944	610	35	0	0	0	0	0	595	133	0	0	0	0	0	0	0	0	0	0	2411	0	0	2973	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
