fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae 1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae Sedis XI	Peptococcaceae 1	Clostridiales_Incertae Sedis XIII	Clostridiales_Incertae Sedis XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae Sedis XI	Paenibacillaceae 1	Staphylococcaceae	Bacillaceae 1	Planococcaceae	Bacillales_Incertae Sedis XII	Bacillaceae 2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
19_R1.fasta	19	1	381	16889	4079	0	0	0	0	0	0	0	8968	0	360	614	163	0	0	0	0	0	461	3473	0	0	0	0	0	0	0	0	0	0	1380	0	0	4318	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19_R2.fasta	19	2	382	15839	4070	0	0	0	0	0	0	0	9185	0	334	635	164	0	11	0	0	0	373	2461	0	0	0	0	0	0	0	0	0	0	1431	0	0	4310	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1_R1.fasta	1	1	207	24532	3210	0	0	0	0	0	0	0	10671	433	1283	713	1145	0	0	0	0	0	11851	8	0	0	0	0	0	0	0	0	0	0	4073	0	0	3140	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_R2.fasta	1	2	206	23144	3174	0	0	0	0	0	0	0	11296	424	1185	728	1147	0	0	0	0	0	9615	11	0	0	0	0	0	0	0	0	0	0	4333	0	0	3130	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200_R1.fasta	200	1	1	8294	927	0	0	2	5	2	0	0	2408	310	3	61	0	0	0	0	0	0	59009	31	43	0	0	0	0	0	0	0	0	0	83	0	0	4159	21	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1109	47	0	0	61	0	0	3	1	0	0	0	0	1	0	763	78	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
200_R2.fasta	200	2	1	7787	919	0	0	3	5	2	0	0	2376	237	3	65	0	0	0	0	0	0	47711	57	40	0	0	0	0	0	0	0	0	0	92	0	0	4102	20	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1091	66	0	0	60	0	0	3	0	0	0	0	0	2	0	734	76	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
201_R1.fasta	201	1	171	23345	1104	0	0	13	3	0	0	0	24187	35	77	83	25	0	0	0	0	0	248	325	65	0	0	0	1	1	0	0	0	0	434	0	0	20887	55	1	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	66	0	0	87	1	1	7	4	0	0	0	0	6	0	1087	101	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0
201_R2.fasta	201	2	171	21828	1077	0	0	13	4	0	0	0	24293	32	70	277	24	0	0	0	0	0	194	268	64	0	0	0	1	1	0	0	0	0	428	0	0	20889	51	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	114	0	0	85	1	1	4	5	0	0	0	0	6	0	1050	94	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	1	0	0
202_R1.fasta	202	1	1386	38728	118	0	0	0	3	5	0	0	37926	130	21	305	0	0	0	0	0	0	843	57	19	0	0	0	0	3	0	0	4	0	897	2	0	9600	4	0	6	2	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	37	0	0	42	0	0	0	0	1	0	0	0	0	9	413	53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
202_R2.fasta	202	2	1388	36276	114	0	0	0	3	5	0	0	37884	117	18	462	0	0	0	0	0	0	627	44	20	0	0	0	0	3	0	0	2	0	892	2	0	9649	4	0	4	2	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	49	0	0	40	0	0	0	0	0	0	0	0	0	9	404	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
