fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae.1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae.Sedis.XI	Peptococcaceae.1	Clostridiales_Incertae.Sedis.XIII	Clostridiales_Incertae.Sedis.XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae.Sedis.XI	Paenibacillaceae.1	Staphylococcaceae	Bacillaceae.1	Planococcaceae	Bacillales_Incertae.Sedis.XII	Bacillaceae.2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
170_R1.fasta	170	1	347	14659	2026	3	0	0	39	2	0	0	8793	0	248	768	62	1	0	0	0	0	1521	1189	69	0	0	0	0	0	0	0	0	0	1040	0	0	1527	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	663	98	0	0	121	0	0	0	0	0	0	0	0	1	26	1577	118	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170_R2.fasta	170	2	341	13654	1998	3	0	0	37	0	0	0	8947	0	223	763	63	1	0	0	0	0	1175	789	68	0	0	0	0	0	0	0	0	0	1060	0	0	1525	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	650	228	0	0	123	0	0	0	0	0	0	0	0	1	23	1557	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171_R1.fasta	171	1	0	1352	371	1	0	7	0	0	0	0	792	422	354	42	38	0	0	0	0	0	2861	8	36	0	0	0	0	24	0	0	0	0	274	0	0	73	11	1	20	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	338	82	0	0	74	0	0	26	0	0	0	0	0	4	23	1110	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
171_R2.fasta	171	2	0	1260	362	1	0	7	0	0	0	0	785	382	318	42	38	0	0	0	0	0	2225	8	34	0	0	1	0	20	0	0	0	0	268	0	0	74	10	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	325	127	0	0	81	0	0	25	0	0	0	0	0	4	23	1091	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
172_R1.fasta	172	1	58	10489	1092	0	0	0	0	0	0	0	9769	45	347	771	95	0	0	0	0	0	1989	298	5	0	0	0	0	7	0	0	0	0	1024	0	0	639	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	23	0	0	69	0	0	0	0	0	0	0	0	40	0	955	70	0	0	0	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172_R2.fasta	172	2	58	9756	1072	0	0	0	0	0	0	0	9841	41	316	562	95	0	0	0	0	0	1494	211	4	0	0	0	0	6	0	0	0	0	1108	0	0	638	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	35	0	0	72	0	0	0	0	0	0	0	0	39	0	940	68	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173_R1.fasta	173	1	71	11732	926	0	0	58	0	30	0	0	7582	38	0	1519	2	0	0	0	0	0	800	84	135	0	0	0	0	0	0	0	0	0	666	0	0	1132	2	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	371	0	0	359	12	0	55	35	0	0	0	0	23	0	4764	323	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
173_R2.fasta	173	2	72	11034	916	0	0	57	0	28	0	0	7907	10	0	1262	2	0	0	0	0	0	620	62	134	0	0	0	0	0	0	0	0	0	676	0	0	1130	2	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	641	0	0	357	11	0	49	43	0	0	0	0	23	0	4696	308	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	6	0	0	29	0	0	0	0	0	0	0	0	0	0	0
174_R1.fasta	174	1	103	851	1224	0	0	15	17	3	0	0	5483	325	123	91	69	0	0	0	0	0	1447	135	109	0	0	0	0	0	0	0	0	0	644	0	0	360	1	0	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	59	0	0	174	3	0	0	3	0	0	0	0	18	0	2733	256	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
174_R2.fasta	174	2	107	805	1222	0	0	15	14	0	0	0	5661	298	116	89	70	0	0	0	0	0	1130	106	105	0	0	0	0	0	0	0	0	0	653	0	0	359	1	0	0	0	0	9	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	214	0	0	175	2	0	0	10	0	0	0	0	18	0	2714	243	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
